# {"t_start": 1567929268.6531463, "env_id": "PickbotReachOrientDoorHandle-v5"} 
r,l,t
0,28,8553.208897
1,2,8557.083418
0,55,8572.236197
0,16,8577.105024
0,16,8583.332898
0,36,8593.501025
0,40,8604.58146
0,35,8614.629524
0,4,8617.314038
0,28,8623.546355
0,15,8628.320069
0,7,8632.056458
0,18,8636.605433
0,25,8642.292657
0,11,8647.706175
1,2,8651.489389
0,19,8657.54983
1,2,8661.114099
0,41,8672.174092
0,31,8681.593163
0,57,8695.566857
0,12,8701.12224
0,15,8705.800614
0,16,8711.842828
0,16,8718.10581
0,16,8724.384694
0,16,8730.355776
0,2,8733.649954
0,46,8745.22024
1,2,8749.232016
0,8,8751.377976
0,1,8752.097286
1,1,8754.304352
0,3,8755.527884
0,8,8760.083178
0,42,8771.057785
0,36,8778.50036
0,2,8779.961119
0,20,8786.5876
0,30,8795.249728
0,31,8804.878572
0,52,8816.983249
0,34,8824.333856
0,29,8832.744092
0,29,8839.27716
0,5,8841.145537
0,34,8850.440656
0,22,8857.716535
0,7,8862.111915
1,2,8865.587955
0,32,8874.53878
0,29,8884.395671
0,39,8894.532906
0,41,8905.37629
0,16,8911.466432
0,42,8922.208019
1,2,8926.059154
0,28,8934.52271
0,36,8944.408807
0,26,8950.190414
0,17,8954.323945
0,40,8965.052739
0,27,8971.246103
1,2,8975.035079
1,28,8982.50009
1,2,8986.314374
0,40,8996.655269
0,12,9000.373234
0,17,9006.880253
0,20,9014.385588
0,48,9026.26665
0,26,9036.334455
0,31,9045.101671
0,16,9051.103562
0,13,9055.848772
0,15,9061.692284
0,16,9067.064025
0,30,9075.222875
0,44,9086.655083
0,3,9088.918899
0,22,9095.964901
1,1,9098.408742
0,28,9106.742941
0,26,9114.729898
0,14,9118.502669
0,16,9124.587845
0,12,9128.646601
0,28,9136.915024
0,16,9142.917168
1,21,9150.030305
0,18,9156.421134
0,40,9164.635401
0,42,9173.624152
0,37,9181.535423
0,15,9186.555801
0,22,9194.754521
0,1,9195.592403
0,1,9196.364091
0,30,9202.800089
0,31,9211.978949
0,39,9222.416509
0,27,9228.450277
1,1,9230.945366
1,2,9234.916889
0,51,9247.877913
0,16,9253.980731
0,16,9260.023415
0,53,9273.177119
1,2,9276.978253
0,22,9284.317875
1,2,9288.086684
1,2,9292.132168
0,21,9299.029156
0,55,9312.323373
0,27,9320.554698
0,32,9327.783993
0,13,9332.159268
0,11,9338.113672
0,30,9345.250458
0,34,9354.714693
1,2,9358.425938
1,2,9362.478179
0,28,9370.742506
1,2,9374.500881
0,16,9380.888408
0,45,9392.314939
0,19,9399.027223
0,31,9405.765494
0,16,9411.733382
1,2,9415.466472
1,28,9423.025567
0,42,9434.117569
0,13,9438.275352
1,1,9440.668391
0,28,9449.175212
0,43,9460.432944
0,28,9468.689297
0,47,9479.655203
1,2,9483.463505
0,40,9493.805148
0,16,9497.977464
1,2,9501.998163
0,16,9508.078879
1,2,9511.906502
0,27,9519.378908
0,51,9530.442899
0,48,9542.545045
0,41,9552.18859
0,28,9560.706786
0,11,9564.63414
0,4,9567.053061
0,42,9578.247446
1,2,9581.767789
0,34,9591.15955
0,2,9592.535678
1,2,9596.14768
1,2,9599.78367
0,42,9610.679004
0,11,9617.910052
0,5,9621.481265
0,16,9628.732889
0,37,9638.598517
0,38,9647.820712
0,24,9654.615749
0,31,9663.593508
0,18,9668.113446
0,30,9676.719664
0,18,9680.994534
0,37,9691.029461
0,40,9700.444558
1,1,9703.020422
0,25,9710.870114
0,25,9718.591168
0,39,9729.09577
0,17,9735.598313
0,15,9741.501148
1,2,9745.442004
0,33,9754.623428
1,1,9757.006798
0,32,9765.002787
0,20,9769.700523
0,16,9775.837562
0,38,9785.760005
0,23,9793.152992
0,22,9800.304508
1,2,9804.362841
0,36,9814.077403
0,42,9824.889058
0,26,9832.328871
0,32,9841.316279
0,13,9846.84316
0,39,9857.250003
1,2,9860.999021
1,2,9864.979495
0,43,9874.911023
1,2,9878.943616
0,16,9885.078105
0,19,9891.650813
0,41,9902.704905
0,26,9910.731851
0,52,9923.537903
0,16,9929.720996
0,28,9938.023304
1,2,9941.783592
0,34,9951.666975
0,13,9955.257704
0,16,9961.453386
0,42,9970.915783
0,39,9978.990028
0,34,9988.345344
0,16,9994.59786
0,16,10000.714694
0,16,10006.779371
0,7,10010.075917
0,20,10014.79596
0,16,10021.822146
0,16,10027.997363
0,40,10038.66081
0,15,10043.781247
0,14,10047.468352
0,16,10053.611611
1,2,10057.669413
0,7,10059.710336
0,44,10070.610721
0,39,10081.031577
0,30,10089.842002
0,22,10096.044578
1,2,10100.087875
0,28,10108.792824
0,32,10118.061582
0,53,10131.156915
0,1,10138.065865
1,2,10142.000877
0,28,10149.456075
0,11,10152.158154
0,16,10158.200555
0,20,10165.133324
0,44,10175.435352
0,40,10184.771199
0,35,10194.453555
0,29,10203.068231
0,43,10214.22713
0,12,10219.542818
1,2,10223.334777
0,29,10233.059351
0,44,10244.466811
0,37,10255.014239
0,30,10263.697796
0,35,10273.373049
0,13,10276.759084
1,2,10280.402911
1,2,10284.079876
0,32,10293.271529
0,24,10300.885483
0,27,10306.950079
0,36,10314.824182
1,2,10318.266702
0,14,10324.318555
0,31,10333.243921
1,2,10336.777508
1,2,10340.572632
1,28,10347.98828
0,53,10361.437303
1,2,10365.258165
0,24,10372.760999
0,44,10383.826879
0,42,10394.819554
1,2,10398.536238
0,29,10407.112054
0,8,10411.723688
