# {"env_id": "PickbotReachOrientDoorHandle-v5", "t_start": 1567723370.4598494} 
r,l,t
0,30,6296.358045
0,16,6302.557064
0,33,6311.763269
1,1,6314.175289
0,1,6315.029271
1,2,6318.783073
0,36,6328.710089
0,15,6333.896428
0,16,6340.301358
0,39,6348.780987
0,33,6356.953696
1,2,6360.638777
1,28,6368.592141
0,14,6372.619632
0,38,6382.767128
0,36,6392.522647
0,36,6400.979367
0,34,6410.700952
0,15,6416.796319
0,30,6424.738899
0,15,6428.5779
0,45,6438.096055
0,52,6452.089252
0,17,6458.335936
0,21,6465.540586
0,21,6472.53578
0,22,6478.383277
0,38,6488.904343
0,35,6497.384924
0,1,6498.267933
0,47,6508.181916
1,2,6511.673572
1,2,6515.480409
0,19,6522.841354
0,14,6528.544127
0,15,6532.379419
1,2,6536.269822
1,2,6539.973624
0,9,6544.027271
0,26,6551.952098
0,3,6553.182753
0,39,6563.573753
0,26,6569.428112
0,26,6577.244895
0,26,6583.34932
0,22,6590.574785
0,14,6594.373361
0,24,6601.995533
0,35,6610.374743
0,16,6616.565673
0,24,6622.804775
0,41,6633.624071
1,2,6637.282655
1,2,6641.176379
0,20,6648.204599
0,38,6656.269893
0,28,6664.713092
0,36,6674.749841
0,42,6686.020094
1,2,6689.934289
0,16,6696.003477
0,43,6707.150136
0,25,6713.926708
0,29,6720.264627
0,16,6726.420249
0,52,6739.277489
0,25,6746.305171
1,2,6749.999241
1,2,6753.985287
1,2,6757.934472
0,40,6769.729429
0,41,6780.538048
1,25,6787.839684
0,1,6788.821923
0,4,6790.290652
0,27,6797.057849
0,34,6806.413705
1,1,6808.796218
1,27,6816.312717
0,36,6826.148686
0,30,6835.000116
0,11,6840.18256
0,15,6846.074712
0,23,6851.387527
0,34,6861.004149
0,40,6870.701975
0,19,6877.555219
0,15,6882.544802
0,51,6893.297818
0,25,6898.932026
0,43,6910.140036
0,16,6916.325149
0,29,6924.187505
0,16,6930.492355
1,2,6934.309374
0,16,6940.588722
0,9,6945.368045
0,25,6953.240111
0,19,6959.98339
1,2,6963.732681
0,21,6969.555292
1,2,6973.273861
0,39,6982.660414
0,22,6989.786154
0,6,6991.577978
0,25,6999.276099
0,53,7012.233864
0,14,7017.200249
0,35,7026.817578
